日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
 96/07/03,6604476736,183893914775,1262172,8996.2,56.71
 96/07/04,7261940348,197560744893,1357838,9068.98,72.78
 96/07/05,7065443900,198342659065,1336924,9148.78,79.8
 96/07/06,7514283569,211810238800,1432550,9188.31,39.53
 96/07/09,8048348744,228332786762,1468678,9369.84,181.53
 96/07/10,7665995473,228252560273,1462902,9384.73,14.89
 96/07/11,8238749613,222404015994,1490290,9290.95,-93.78
 96/07/12,8403345132,234106372102,1523690,9354.41,63.46
 96/07/13,8559100728,239600682485,1549203,9471.3,116.89
 96/07/16,8715233919,230654855414,1550148,9417.32,-53.98
 96/07/17,7189834740,202423179870,1374889,9509.73,92.41
 96/07/18,9349107397,248708600119,1657244,9485.35,-24.38
 96/07/19,8774462288,233403565525,1599933,9473.31,-12.04
 96/07/20,7934344714,223080605949,1491345,9585.9,112.59
 96/07/23,7473789216,213743349559,1441050,9621.57,35.67
 96/07/24,9282548651,286067488805,1806434,9744.06,122.49
 96/07/25,8209344116,257782778681,1636604,9740.13,-3.93
 96/07/26,10442906736,322003074783,2030415,9566.42,-173.71
 96/07/27,9416658087,297341794764,1812600,9162.28,-404.14
 96/07/30,7332866838,214868734446,1328617,9072.57,-89.71
 96/07/31,7184071202,224887279844,1360644,9287.25,214.68
 96/08/01,8496122972,272435166821,1658031,8891.88,-395.37
 96/08/02,7164272748,221064861303,1414805,8950.57,58.69
 96/08/03,5865500956,173018315474,1129932,9057.82,107.25
 96/08/06,4658693526,125709975945,891664,8941.73,-116.09
 96/08/07,4906054242,148400159820,990104,8862.31,-79.42
 96/08/08,4894089089,144353461568,1009608,9099.46,237.15
 96/08/09,5728308425,179044370679,1179237,9182.6,83.14
 96/08/10,5558993379,167408299830,1157921,8931.31,-251.29
 96/08/13,5081284041,147409906558,1051026,8938.96,7.65
 96/08/14,4783078841,143184816742,1026831,8910.99,-27.97
 96/08/15,5665760574,164357796682,1166861,8593.04,-317.95
 96/08/16,5943530806,180968163854,1159105,8201.37,-391.67
 96/08/17,6021953010,179276831019,1164462,8090.29,-111.08
 96/08/20,4346988001,128204707300,861473,8515.6,425.31
 96/08/21,4645752966,139349697204,997865,8479.08,-36.52
 96/08/22,4063531005,111683492196,842328,8493.46,14.38
 96/08/23,5063436911,159170305202,1030689,8732.84,239.38
 96/08/24,4277265585,132349896113,944535,8690.09,-42.75
 96/08/27,3843418033,118577983050,823535,8718.31,28.22
 96/08/28,3486522415,112035482066,789561,8727.55,9.24
 96/08/29,4036930315,129748579343,910269,8643.32,-84.23
 96/08/30,4977677465,156775799276,1060656,8771.21,127.89
 96/08/31,5041440001,166984782416,1112377,8982.16,210.95
 96/09/03,4747490539,146464073456,1038159,8979.96,-2.2
 96/09/04,4406124275,136667097058,964908,8922.98,-56.98
 96/09/05,4050100430,136669525043,937487,8913.85,-9.13
 96/09/06,3998749238,132285826259,908465,9017.08,103.23
 96/09/07,4242334447,136089195648,940758,9018.08,1.0
 96/09/10,3745351353,114447641378,804785,8937.58,-80.5
 96/09/11,4266568498,129559780120,932552,9003.12,65.54
 96/09/12,4364200082,135053663803,981431,9018.12,15.0
 96/09/13,4042225473,113245688716,882832,8927.42,-90.7
 96/09/14,3912876728,116087929006,854763,9031.63,104.21
 96/09/17,3930412723,108713079935,822338,8899.91,-131.72
 96/09/19,5941694499,172019825078,1120486,8926.38,26.47
 96/09/20,4687521708,152478045276,1000045,8983.03,56.65
 96/09/21,5048639609,138631641326,991547,9105.28,122.25
 96/09/26,5443736475,158568970052,1060990,9257.47,152.19
 96/09/27,6111489074,184555622713,1251327,9413.65,156.18
 96/09/28,5581612457,172612538358,1174299,9411.95,-1.7
 96/09/29,4728546282,125633512558,1009484,9476.52,64.57
 96/10/01,6192035993,166306694202,1219797,9488.5,11.98
 96/10/02,6728460499,207788099238,1314188,9623.25,134.75
 96/10/03,6679182437,216355694442,1361680,9700.07,76.82
 96/10/04,5028820503,163751176050,1085045,9627.39,-72.68
 96/10/05,4590305762,159064945350,1012667,9617.26,-10.13
 96/10/08,5067772284,153584755167,1042443,9717.17,99.91
 96/10/09,5559641185,165482068442,1084727,9639.83,-77.34
 96/10/11,5281501490,157874906703,1016121,9697.67,57.84
 96/10/12,5763675618,154606749870,1094594,9496.47,-201.2
 96/10/15,4437333939,122168824885,890807,9518.45,21.98
 96/10/16,5152276796,158283598888,1021447,9592.47,74.02
 96/10/17,4571236930,145745195660,980973,9562.16,-30.31
 96/10/18,5568691802,170699573403,1125237,9637.07,74.91
 96/10/19,4704165405,140485324611,966727,9611.72,-25.35
 96/10/22,4858831158,150111820595,1031063,9360.63,-251.09
 96/10/23,4748010048,149506784932,973952,9502.39,141.76
 96/10/24,4709016727,160326628534,1036898,9442.62,-59.77
 96/10/25,4694124639,137905983475,921582,9568.26,125.64
 96/10/26,4979718543,140357580151,968864,9631.51,63.25
 96/10/29,6028358474,182097372557,1211356,9809.88,178.37
 96/10/30,5493813082,160623923979,1111132,9757.93,-51.95
 96/10/31,5660401964,186060478731,1187087,9711.37,-46.56
 96/11/01,6176671012,182456878917,1198651,9598.23,-113.14
 96/11/02,5920191520,174137228958,1181800,9273.09,-325.14
 96/11/05,5062222443,143296816152,991308,9308.6,35.51
 96/11/06,4581603931,152087114081,938314,9292.8,-15.8
 96/11/07,5049325381,156705831519,997621,9300.22,7.42
 96/11/08,5899391462,166641901538,1115153,8937.58,-362.64
 96/11/09,5217846856,155637505206,1048197,8970.92,33.34
 96/11/12,4957094849,143531098364,979726,8670.61,-300.31
 96/11/13,4732520126,145464121246,978662,8727.21,56.6
 96/11/14,4846649763,143786278769,937897,8942.93,215.72
 96/11/15,3804597035,100007510556,767738,8905.41,-37.52
 96/11/16,4082908324,114871533877,869874,8764.82,-140.59
 96/11/19,3700532797,94860958605,740838,8680.71,-84.11
 96/11/20,4819207525,140940811340,970817,8680.86,0.15
 96/11/21,4301326825,129923417550,951860,8484.11,-196.75
 96/11/22,3944421558,120664276757,836891,8499.37,15.26
 96/11/23,3946198766,107722300528,805957,8342.2,-157.17
 96/11/26,3971292834,105092831471,752128,8528.33,186.13
 96/11/27,4152197039,116274041591,871625,8375.76,-152.57
 96/11/28,3708504106,102561549179,795198,8276.26,-99.5
 96/11/29,4079430191,121950100838,848640,8447.03,170.77
 96/11/30,4598515305,135134826779,889176,8586.4,139.37
 96/12/03,3324166528,90581394080,714728,8583.84,-2.56
 96/12/04,3499103360,95258450268,737683,8651.28,67.44
 96/12/05,4176040111,118214280098,881949,8676.95,25.67
 96/12/06,4349498953,128538513924,910730,8694.41,17.46
 96/12/07,4159889369,115953366162,786573,8722.38,27.97
 96/12/10,3325781506,85537628131,630643,8598.03,-124.35
 96/12/11,3154546840,88456349735,649173,8638.33,40.3
 96/12/12,3795976441,109666689734,738269,8490.84,-147.49
 96/12/13,4844740465,142697251956,938353,8187.95,-302.89
 96/12/14,5031056386,152365269573,1038173,8118.08,-69.87
 96/12/17,4258955150,116475776959,870893,7830.85,-287.23
 96/12/18,5109745925,143882043757,1032602,7807.39,-23.46
 96/12/19,4146595922,112569002429,823847,8014.31,206.92
